graph_size,avg_in_degree,avg_out_degree,avg_total_degree,density,number_of_wccs
21272.0,33.76081233546446,33.76081233546446,67.52162467092892,0.001587175606951458,7.0
21271.0,33.76204691833952,33.76204691833952,67.52409383667904,0.0015873082707258826,7.0
21270.0,33.76344616831217,33.76344616831217,67.52689233662434,0.0015874486890926783,7.0
21269.0,33.761013681884435,33.761013681884435,67.52202736376887,0.0015874089562669,7.0
21268.0,33.75921572315215,33.75921572315215,67.5184314463043,0.0015873990559623903,7.0
21267.0,33.69476183758876,33.69476183758876,67.38952367517751,0.0015844428589104087,7.0
21266.0,33.692278754819895,33.692278754819895,67.38455750963979,0.001584400599803428,7.0
21265.0,33.69292264284035,33.69292264284035,67.3858452856807,0.001584505391405208,7.0
21264.0,33.69319036869827,33.69319036869827,67.38638073739654,0.0015845925019375567,7.0
21263.5,33.693957910253076,33.693957910253076,67.38791582050615,0.0015846658063367529,7.0
21262.5,33.69399299202233,33.69399299202233,67.38798598404466,0.0015847421034822927,7.5
21261.0,33.68364611260054,33.68364611260054,67.36729222520108,0.0015843671736877015,7.5
21260.0,33.68471307619943,33.68471307619943,67.36942615239886,0.0015844918893738857,7.5
21259.0,33.683498753469124,33.683498753469124,67.36699750693825,0.0015845093025434716,7.5
21258.5,33.67937660409501,33.67937660409501,67.35875320819002,0.0015843527187196888,7.5
21257.0,33.67660064919791,33.67660064919791,67.35320129839582,0.0015843338656942939,7.5
21256.0,33.67712645841174,33.67712645841174,67.35425291682348,0.0015844331431856852,7.5
21255.0,33.66734885909198,33.66734885909198,67.33469771818396,0.0015840476549869192,7.5
21254.0,33.66683918321257,33.66683918321257,67.33367836642515,0.0015840982065220238,7.5
21253.0,33.66807039006258,33.66807039006258,67.33614078012516,0.0015842306789978628,7.5
21252.0,33.66845473367212,33.66845473367212,67.33690946734424,0.0015843233134286445,7.5
21251.0,33.665474565902784,33.665474565902784,67.33094913180557,0.001584257626630719,7.5
21250.0,33.66374117647059,33.66374117647059,67.32748235294117,0.0015842506083331258,7.5
21249.0,33.663490046590425,33.663490046590425,67.32698009318085,0.0015843133493312514,7.5
21248.0,33.65933264307229,33.65933264307229,67.31866528614458,0.00158419224563808,7.5
21247.0,33.65557490469243,33.65557490469243,67.31114980938486,0.0015840899418569344,7.5
21246.0,33.64993410524334,33.64993410524334,67.29986821048668,0.001583898992950969,8.5
21245.5,33.61824678052726,33.61824678052726,67.23649356105452,0.0015824446331665428,8.5
21244.0,33.61819807945773,33.61819807945773,67.23639615891545,0.0015825541627575075,8.5
21243.0,33.61973355929012,33.61973355929012,67.23946711858024,0.0015827009490297578,8.5
21242.0,33.617950287166934,33.617950287166934,67.23590057433387,0.0015826915063870315,8.5
21241.0,33.61946236052917,33.61946236052917,67.23892472105834,0.0015828372109477008,8.5
21240.0,33.61127589453861,33.61127589453861,67.22255178907722,0.0015825262909995106,8.5
21239.0,33.599204293987476,33.599204293987476,67.19840858797495,0.001582032408606624,8.5
21238.0,33.59770223184857,33.59770223184857,67.19540446369714,0.001582036174217101,8.5
21237.5,33.59670200105755,33.59670200105755,67.1934040021151,0.001582026232060432,8.5
21236.0,33.59888867960068,33.59888867960068,67.19777735920135,0.001582241049192403,8.5
21235.0,33.60014127619496,33.60014127619496,67.20028255238992,0.0015823745538379467,8.5
21234.0,33.60155882075916,33.60155882075916,67.20311764151832,0.0015825158395308793,8.5
21233.0,33.60076296331182,33.60076296331182,67.20152592662365,0.0015825528901333753,8.5
21232.0,33.590782780708366,33.590782780708366,67.18156556141673,0.0015821573539027065,8.5
21231.0,33.59227073618764,33.59227073618764,67.18454147237529,0.001582301965906154,8.5
21230.5,33.5930365113465,33.5930365113465,67.186073022693,0.001582375219563682,8.5
21229.0,33.59510575156625,33.59510575156625,67.1902115031325,0.0015825845935352485,8.5
21228.0,33.59322592801959,33.59322592801959,67.18645185603918,0.001582570590663758,8.5
21227.0,33.59012107221935,33.59012107221935,67.1802421444387,0.0015824988727136222,8.5
21226.0,33.590619994346554,33.590619994346554,67.18123998869311,0.0015825969373072582,8.5
21225.0,33.58833922261484,33.58833922261484,67.17667844522968,0.0015825640417741634,8.5
21224.0,33.58624670184696,33.58624670184696,67.17249340369392,0.0015825400132802605,8.5
21223.0,33.581868727324135,33.581868727324135,67.16373745464827,0.0015824082898560046,8.5
21222.5,33.582304517497825,33.582304517497825,67.16460903499565,0.00158246601508994,8.5
21221.0,33.582064935676925,33.582064935676925,67.16412987135385,0.00158256667934387,8.5
21220.0,33.583364750235624,33.583364750235624,67.16672950047125,0.0015827025189799533,8.5
21219.0,33.58459399594703,33.58459399594703,67.16918799189406,0.0015828350455248858,8.5
21218.0,33.58513997549251,33.58513997549251,67.17027995098502,0.0015829353808499082,8.5
21217.0,33.58429561200924,33.58429561200924,67.16859122401848,0.0015829701928737386,8.5
21216.0,33.5858314479638,33.5858314479638,67.1716628959276,0.0015831172023551168,8.5
21215.0,33.58496346924346,33.58496346924346,67.16992693848692,0.0015831509130406081,8.5
21214.0,33.586381634769495,33.586381634769495,67.17276326953899,0.0015832923978112239,8.5
21213.0,33.58591429783623,33.58591429783623,67.17182859567247,0.0015833450074408935,8.5
21212.0,33.58415048085989,33.58415048085989,67.16830096171978,0.0015833364990269147,8.5
21211.0,33.5856395266607,33.5856395266607,67.1712790533214,0.0015834813543923005,8.5
21210.0,33.58712871287129,33.58712871287129,67.17425742574258,0.0015836262300377804,8.5
21209.0,33.58571832712528,33.58571832712528,67.17143665425056,0.00158363439867622,8.5
